hex_values,target_values
b'0c8149000838e9001c3860000138a00000910a00003d400000394a00007ce83b7880c900148089000880890020910a0000910a0004910a0008910a000c910a00',powerpc
b'890981000088087c0997a8ee4608001b88860000000c08a638f41baa4600000c0aa61af08c998c7b810000c020008228008100002208031df036410025f9ff81',xtensa
b'00240200113c0300003c04000027bdffe0000038210000302124840000ac6200043c030000ac620000afbf001c0c000000000000008fbf001c0000102103e000',mips
b'94e540e094e5003081e5006081e5005081e53c30d4e5c8009fe5ff3003e2003081e53d30d4e5ff3003e2003081e5b031d4e1003081e5b431d4e1003081e50020',arm
b'1be518201be5033082e00030d3e5ff1003e20020a0e368309fe5180093e8013093e00240a4e058209fe5180082e810301be5013083e210300be510201be51c30',arm
b'204000070000008210200180a1200212800004c220e0008210200cc220e0000300000082106000c220800005000000821020edc220a000c600e00082102013c2',sparc
b'00430e10419a0269da0e00000000bd240000a52000009d24610542400104214001042540000061302300e373000064b0020061302300e373000064b004002130',alphaev56
b'011b0c0f600000002000000018000000000000005000448d0b8e0a8f09460ec00172cfcecd0e60000098dff09407f40707000000000000000000000000000000',s390
b'912a00004082000890a600003926000081090004810900042f8800003900fff5910a0000409e00c0814900043940000191490008810900083d40000090e90004',powerpc
b'04c420600005000000c600a000c62060008410a000c400a004c420600005000000c400a000c420600084102001c4206000c4206000c4206000c4206000c42060',sparc
b'640000ac6200003c0400008c8800003c04000027bdffe0000038210000302124840000aca20004afbf001cac6800000c000000000000008fbf001c0000102103',mips
b'000050910000282f22952f7001f021e030e000c020e030e0242735273093000020930000a0910000b091000027e0e0e0f0e001900d922a9501f40197992304f4',avr
b'004af22e44000008f23c442727000000f22e4480000cf23c44a771800000f2000424f2000018f23c443834fffffff240001244000a0000014a00670ef22e4400',m68k
b'00bd08a909910000e20c00a8090c18564a00e62e018d0a8909810000d1000088080c02a808a08f31a088c0a80d808f05a0a830810000a90dc020008808810000',xtensa
b'080000000800000088f2d4e622210dd2226222210d9222210ed2226222210ed400e50ed00b4000e600e0147f264f0b000900a8ea08000000480000004c000000',sh4
b'f23c44273f000000f2000422f2000018f23c44387efffffff29d000af22e44000008600cf22e44000008f22e4422000cf2006400f20044004e5e4e754e560000',m68k
b'2118200121e8c0030400be8f0800bd270800e00300000000f8ffbd270400beaf21f0a0030800c4af0c00c5af1000c6af0c00c48f000000002a00800400000000',mipsel
b'0090910000892b01f400c086ef9fef91838083e0910000f091000081e090e04091000050910000e417f50704f480e090e062ea70e000d0409100005091000084',avr
b'0000000000003000448b0d8c0c8d0b8e0a8f09440ed001420d0b64cfcecdcccb0c0f600000002800000d48000000000000003000448b0d8c0c8d0b8e0a8f0944',s390
b'00502010005830d1ba5820d1b6502010005840400050401000a74800005820d1b243403000183450301000433020005430d1ae50301000583020045030100043',s390
b'008fc300088fc2000c0062102310000002000000008fc2000803c0e8218fbe000427bd000803e000080000000027bdfff8afbe000403a0f021afc40008afc500',mips
b'17542499f7fe85d2750f4088f0be010000004409c884c074e2488b05000000008a0500000000bf00000000890d00000000ffc08805000000000fb60500000000',x86_64
b'98100008170000279612e1191533bea79412a1197fffffe9933a60183100003cb016209481c7e00881e800009de3bfa07fffffeb01000000030000000533bea7',sparc
b'30100150302000a73800004330100250302000a7380000433010031813501020005810d24e58101000501020005810d21e583010005030200058101004501020',s390
b'a908c02000a829c02000b918c020009839c02000a928c0200099382020f41df00036410025f9ff810000c020009808810000c0200099080c0ac6070000810000',xtensa
b'1f21813281232b01f4e0910000f091000011821082019790930000809300008091000090910000992304f48b819c81892b01f480910000909100000197909300',avr
b'309fe5083093e5000053e3f3ffffaa011081e228309fe5001083e520309fe5001093e5020051e3e4ffffda0c0093e5ff0000e22cd08de204e09de41eff2fe100',arm
b'6e43101008a72800ff14215810d2b2502010005810d26e4810100a18215420d2725810d2b250201000a7480000a7280000a73800005810d26a0de1a718000018',s390
b'488b1500000000b8ffffffff4831c2488b45d84889c6bf00000000b800000000e80000000090c9c3554889e54883ec1048897df88975f4837df4007516488b45',x86_64
b'61b0000042a0000041b000005d24000042a0000041b000005d24000062a0000061b000004220040062a0000061b0080042a0000041b01104ff4700001d260000',alphaev56
b'a500408c4300188c46001c24420008ac8300003c030000ac8600005445fffa8c43001824020003ac62000024020002ac6200003c0200008c4900208d0500008c',mips
b'304200ff10400009000000008fc7003c8fc600388fc500348fc400300c0000000000000010000003000000008fc300348fc2003003c0e8218fbf002c8fbe0028',mips
b'711e850362189110320989e361e4711e8503611d611b611d611f6104a00900e361e4711e8503615a410df11df15a00047ee36ff66e0b0009000080e62ff87ff3',sh4
b'20910000309100002091000021502093000021e030e08730910504f400c02e6a3c688223932321e08227909300008093000087e290e0019701f489e190e09093',avr
b'1000000000000000017a520004781a011b0d1e0018000000180000000000000088000000004c0e104d9a0248da0e0000080082a00c00c2a00000e1b000001d26',alphaev56
b'20d07e583020005030100058302004503010005820200850201000a7380000a74800005820d07a5810d0760de1a72800005840f09898dff09407f40707000000',s390
b'd048894da8668945b0c645ff00c70500000000fdffffffeb7fc745f8d8d3e49f488b05000000004885c0755748c745f00000000048c745e80000000048c745e0',x86_64
b'a000c8006004c820a000c8006008c820a000c800600cc820a0008200601080a0401d32bffff7c800400003000000c400600003000000c420600005000000c400',sparc
b'364100b10000810000980b0c02c0200029080b99c020009908990b910000c81b2909910000c02000c908c020009908c10000d10000810000a10000e008001df0',xtensa
b'b90000000020bc00000000207900000000201000404432208020100040b004208020390000000023fc00000000000000000c79ddf40000000052c049c0448024',m68k
b'00afc0001c1000000a000000008fc2001c0002108027c30018006210212403ffffac4300248fc2001c24420001afc2001c8fc2001c284200021440fff4000000',mips
b'000000009300000000440e10028e0e08cac70500000000a3776fcac70500000000a3776fca890500000000c70500000000cbffffff0fb6050000000089050000',x86_64
b'00440e10429a02620ada0e00410b0000000000000000422000001d26247680480300e343000081b01104ff47040082a000005d24000061b00000102200004230',alphaev56
b'0000c220a000c210e000820060018928601089312010c230e000c820a0008810e000c2112002b01020009210200094102000c220a00011000000400000009012',sparc
b'63222312632223ffe332262363f47373135267726010c9022712672cd733507264726401c97268022301e4726801131260726072604213431326d47260422f41',sh4
b'315ed6290e5ed39168102db11fe22fb82b658ff7eb5bde01e57e6be26101e4122e315131513151625157de1c61123529050b4eba250c300737528ba26150d512',sh4
b'a71800005010b094a7f4001d5820b09c1812891000011a125a10b0985a10b094a728f000891000024130b0a81a135830d1de50312fc85810b094a71a00015010',s390
b'a0e3020052e3f4ffffda011081e2020051e3f9ffffda0030a0e3000000ea013083e2000053e3fcffffda0030a0e3000000ea013083e2000053e3fcffffda8030',arm
b'64000c2463000c8c630004ac440000ac4300002403ffffac4300003403ffffac430000ac430000ac430000ac430000ac430000ac430000ac430000ac43000024',mips
b'e671851c611cd412230d611223715112237884022319d00b40090000e00c7f264ff66ef66df66cf66bf66af6690b00f668e99600000000b800000060000000a8',sh4
b'a96008202e0008222e000c20402241200822094cdf007c4e5e4e754e56000048e738004aae00106d4a741fb4ae00106d4274e0d4ae00104a826d0c262e000822',m68k
b'3390e3000091030004914300089923000c3920000048000008392900012f89000040bdfff83d20000039290000812900144e8000203d20000039290000806900',powerpc
b'e01816190604f44f5f5f4f4330510504f087e294e09093000080930000809100009091000090930000809300008ae590e0909300008093000084e090e0909300',avr
b'000039290000a10900083d400000910a00008109000a910a0000a9090014910a000089090016910a000081090018910a000081290040912a000038a0000038c0',powerpc
b'0900e3610871126a115ba361b36213602361107ee36ff66ef66bf66af669f6680b000900ffffff7f00000080862f962fa62fb62fc62fd62fe62fc87ff36ee361',sh4
b'00909100009093000080930000809100009091000090930000809300008fef90e090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f',avr
b'3484b32aac44000024040004ac4400003c049381248440a9ac440000ac400000ac4300008ca300043c040000ac4300003c036c26ac4700003463e64e00003821',mips
b'58b0d0825850d07e1832503010005820d07aa7480000a718fffea738000050c0b0005010c0000de55840f098a728000098bff08c07f400000000000000000000',s390
b'007cffe04e5e4e754e56fffc2f032f024280600252807202b2806cf870d9424348c081c32400484249c2487800d92f3c0000fffc487800d94878000148780001',m68k
b'f4262efffc10390000000049c02f002f00487800014ebaff70242efffc49c0120249c1e3a84fef000cb08256c049c04480b0825dc04400123900000000c1c12f',m68k
b'2718407b20022134840c6535840c64368448640c6737845b24284728404b2737d418407b20022138840c67398435d30c60086031637b200f6002213d63206032',sh4
b'812039000000002079000000002050b6905cc049c044808091670000867001848023c200000000538123c10000000070ebb08166cc207900000000205023c800',m68k
b'03140200212040000800c3970c00c2970000000026106200001c0200031c03000080022424106200001c0200031c03000800c297000000002610620000140200',mipsel
b'143d2000003909000039400002914900003d20000091490000814800049149000038a0000038c000003c600000386300004cc631824800000138600000800100',powerpc
b'44309fe5003093e5003082e53c309fe5003082e50020a0e30030a0e330009fe5feffffeb0400a0e1f84fbde81eff2fe100000000f2f2ffffdeca4c58f3f2ffff',arm
b'0000588c1c00bfaf2c00a4955000a01000000f3c1c00e28d0000063c010042242b10020023180200070002240410620004008330241043003c70033c2000cc94',mipsel
b'21380000000043ac0800838c0000043c000043ac000045ac0000033c2000639400008424ffff6330000043ac03000324000043ac0000033c0000638c00000000',mipsel
b'12502010005810d21e5820d20ea758000050401000a718000050102004a718fffc4010c0025810d20a505010005810d206505010005810d20a501030005830d2',s390
b'00000084c00f9fc00fb6c00fb70d00000000d3e085c00f8496000000b8000000000fb60d00000000488b0d0000000083c00683f83075ea48c705000000000000',x86_64
b'c030600080a0600124bfffff820060018400a00180a0a00204bffffb821020008801200180a1200004bffffb841020008600e00103000000c630600003000000',sparc
b'0aa8025c62c020002909221c00c02000a909c0200029090c02c020002909a10000c02000b909c020008909a80a7c18c020008909c02000a909321300b1000030',xtensa
b'0b8e0a8f09460ec00102aacfcecdcc0e600000e5e8503010005810d0c6583020044830400050301000a7380000503010005830d0c258c0d0be5850d0ba583030',s390
b'1100d9849165000000000000000017f742ca8cdafffb0004620000c0600001024280568023c000000000203900000000203900000000700223c0000000005841',m68k
b'30040065941c00bfaf020062a40000033c0800668c000084940000033c000066ac000064ac0000043c213000002138000000008424000062ac000065ac000000',mipsel
b'200203000000b6103ffff6206000b6102002f6206000f40ea000f4206000f408a001f4206000f408a002f4206000f408a003f42060008608e0ffc6206000c608',sparc
b'000024a0000048a01f04ff5f00003730000064a00200e2431f04ff47020441440100e3432200e27301002120000057343f0020e400003d240000fd26000061a4',alphaev56
b'3e42240000043ce0ffbd2724106200213000000000033c21380000000084240000a2ac1c00bfaf000062ac0000000c000000001c00bf8f211000000800e00320',mipsel
b'003ce0b69660e7893990ea000089080001910a0000912a000038a0000038c000003c600000386300004cc631824800000138600000800100147c0803a6382100',powerpc
b'c6daaf63c6daaf63c6daaf00000000d2000000000100000000660a4a8066062239000000004e5e4e754e56000091c860185280600242804a806ff65281600242',m68k
b'994600000c09a629f01bbb4600000c0ba61bf00c084600001b88a618fa1baa16bafe9100008209000b8882490086e9ff3641002d040c09810000925800460500',xtensa
b'd018d1fffc422efff8600e20790000000020102080522efff80c2e0031fff866ea202efffc4e5e4e754e56ffc8222e0014202e00183d41ffca3d40ffc81d7c00',m68k
b'40ac000043ac000043ac000043ac05000324000043ac3b170324000043ac21300000213800000000043c000084240000000c00000000211000001c00bf8f0000',mipsel
b'ffda44309fe5bc12d3e140209fe5041082e5281093e5041082e5001093e5041082e5b433d3e10338a0e14338a0e1043082e50020a0e30030a0e314009fe5feff',arm
b'000c00a2a0140062a0000081b01104ff47100082a0233160400000a1b000001022000081b000007da700005eb7140062b0000061b01f04ff4700405b6b0000ba',alphaev56
b'000048ac0000033c380063940000888d0000043cffff6330213000002138000000008424000043ac000048ac000045ac0000000c000000002400bf8f2000b28f',mipsel
b'28d5d2afc22528d528d3526118210089335127d62262626126d1326426d04221315442213254422133531bd432217221d2633221526300e53221626300e63221',sh4
b'616011e36123601281e3613071d4e223601780e36144d22c11e36100e22f110da00900e3621e72e3611f511c312c31ffe22121e361e3622f5201722f11e3611f',sh4
b'1d511821088b07d2e361047123641265115605d10b4109000c7ee36f264ff66e0b00090009002400000000000000862f962fe62fcbff224fa87ff36ee3611871',sh4
b'023c08004224000082ac0000023c0000428c0400638c000000000000638c00000000000043ac1000a28f0800e003000000000000023c0c00428cfcff03240000',mipsel
b'a0e1feffffeb0430dde5ff1001e2010073e10400001a68309fe5002093e5000052e30120a013000000ea0120a0e360309fe5023003e0030057e10c00009a4430',arm
b'e2f900a0e3feffffeb000050e318209f150030921504308311003082150408a0e12008a0e11040bde81eff2fe1000000000120a0e308309fe5002083e504009f',arm
b'913c911597309300002093000020813181309300002093000090930000809300008481958190930000809300008681978190930000809300001f921f921f921f',avr
b'0ccb1b88a20200910000a0a074c02000a909c20201a805c05074c0200059092202020cd5202074c020002909c02000a909c020008909c020005909c02000b909',xtensa
b'00600003000000c420600084103fedc4206000050dc6198410a142c420600005000000c400a00092102000c42060009410200011000000b01020004000000090',sparc
b'10811f00082f880000419c0074811f00102f880000419c0068811f00102f88001f419d005c811f00103908ffe02f880000419c001880ff00087cea4630811f00',powerpc
b'e3971b6d00e5126700e620d1322272211fd720d0726720d4722120d7726772211fd772677221322121532252322122211cd22262222158e22221209222212221',sh4
b'30a0e1000053e32f00001a0020a0e33136a0e324104be2030091e8feffffeb0030a0e10140a0e10450a0e10340a0e10020a0e3b0309fe52c104be2030091e8fe',arm
b'001491090000810a001891090000810a001c91090000810a002091090000a90a0024a147000491090000914900004cc631824800000180010014386000003821',powerpc
b'0090ea000080e9001090ea0000910a000081090018910a00008109001c910a000081090020910a000089290008912a000038a0000038c000003c600000386300',powerpc
b'e520009fe51c2093e518c093e5012042e2000090e5001083e51c2083e5242093e5fdffffea00000000000000000e130400d39d0e130400d39d0e130000080065',arm
b'20009908c020009908910000c020002809c020002908c020002819c020002908920908909074c020009908210000c020002908210000c020009812c020009908',xtensa
b'0000d000000000410e108602410e188303470ef801027d0e800202470e18410e10410e08000024000000b000000000000000e300000000410e108602410e1883',x86_64
b'f0e0910000f0910000ce2edf2edd24c114d10401f400c02f5f3f4f00c020e030e02330310504f080e090e090930000809300000b811c818e2f9f2f60e070e000',avr
b'000083e900003860c0e34bffffcd57ff063e7d3f1bd67c6919d67d23f850553f07fe386000004bffffb13d20661f6129bc9f7f8348004fdde8427d2000265529',powerpc
b'00000000000000000000b34e6d4f8410200003000000c020600010800007821020008603a0508400c00286102001c620bffc8200600180a0600004bffffa8528',sparc
b'e5002083e50c20d4e5ff2002e2002083e50ce094e5102094e5022ca0e12e2482e1002083e500c083e51c2094e5002083e52020d4e5ff2002e2002083e520c094',arm
b'45ac000043ac0000838c0000043c000043ac21300000090003242138000000008424000043ac0000000c000000001c00bf8f211000000800e0032000bd272000',mipsel
b'3900ffe738a0000038c000003863000091090000914900004cc63182480000018001001438600000382100107c0803a64e800020390000183d20000091090000',powerpc
b'01979093000080930000809100009091000086eb9ae89093000080930000809100009091000090930000809300001f921f921f921f921f921f921f921f9280e0',avr
b'2787fd9095909300008093000020e030e000c0e22ff32fe80ff91fee0fff1fe050f040408151815093000040930000019600c080e090e01816190604f42f5f3f',avr
b'00000df6563f00000000000000000000000002000000fefffffffeffffff010000009f8d7e38010000000000000000000000f1300ce70ab65ad4f1300ce7f130',x86_64
b'49c04480b0855dc049c04480b3807e10be806c0a4a4656c049c0448060024280b1035382700160c44a00670c13c30000000023c2000000005f8123c100000000',m68k
b'00008481992787fd90959093000080930000858190e090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d08db79eb70a960fb6',avr
b'e900023ce05baf60e743b790ea000089080000910a000089090001910a000089090002910a000089290003912a00004cc6318248000001800100143860000038',powerpc
b'23c80000000042a742a74879000000004eb9000000004280242efff4262efff84e5e4e7520790000000020bc000000002239000000006600fee6207900000000',m68k
b'00460e10439a0259da0e0000000041a000003d2400007da700001022000041b0929e5f24643e4220000041b079145f24b7094220000041b000005d2400004220',alphaev56
b'0a00000000001092e5000091e5033080e1003081e5042092e524309fe5002083e50020a0e30030a0e318009fe5feffffeb0000a0e31040bde81eff2fe1000000',arm
b'0bad02e5f6ffa9031cb8210000824200060b001b88860000000c08a628f4810000a10000c02000b82ac02000a83ac02000b908c02000a9180b99810000924800',xtensa
b'0504f0209100003091000041e0420f8091000090910000ef84f888e0910000f091000020813181622f732f80e090e000d0682f792f7727842f90e000d04b815c',avr
b'09978f821062dfc220a00003000000c21060008328601083386010c220a0001080000882102000050000008410a000c600800305000000c620a0008200600180',sparc
b'71e3f5ffff0a0020a0e310309fe5002083e50c309fe5000093e51eff2fe100000000000000000000000010402de9daffffeb40209fe5041092e53c309fe50410',arm
b'90ca00043c6000008908000038a000003863000091090000890a0001910900003900ffff90c900009109000091090000810a000c814a0008910900003d00306a',powerpc
b'0024630038afbf001c906300013c07000000031e0000031e03ac43000090c500343c03000024e600288ce900288cc800048cc700088c66002030a500ffac4500',mips
b'14306efffe326efffc203cffff80009089b0886e0c322efffe302efffcd0416004302efffe4e5e4e754e56fffc2f02222e0008202e000c3d41fffe3d40fffc30',m68k
b'00280000075c000000000000004c00468b0d8c0c8d0b8e0a8f09440ed001420d0b7acfcecdcccb0c0f600000002800000788000000000000002c00468b0d8c0c',s390
b'fcfffff6d30000000023fcfffff1980000000023fc00000e200000000023fcfffff1980000000023fcffff8ed90000000023c10000000023fcffffc932000000',m68k
b'106083e5105083e5102083e56820a0e3102083e5102083e5102083e5104083e5fe20a0e3102083e5104083e51c20dce5ff2002e2102083e520209ce5102083e5',arm
b'006004302efffe4e5e4e754e56fffc202e00083d40fffe4a6efffe6d2c701fb0ae000c6524306efffe203c00007fff222e000ce2a0b0886d10302efffe48c022',m68k
b'14f1000082fb08130000000000000000764499c100000000ffffffffffffffff050000006669c0a6f90fb7c085d20f9fc1d3e085c00f9fc00fb6c08905000000',x86_64
b'0bd022210bd20bd4226222210bd2226222210ad2226222210b40090000e0264f0b00090009000c00000000000000000000000800000000000000040000000000',sh4
b'0009000000c8012000c8206000c600e000c6206000c600a004c6206000c600a008c6206000c400a00cc420600086102001c620600005000000c400a000c42060',sparc
b'00003c0400003c030000ac800004946500083c040000910300000000382124084e8f0000302124840000ac480000ac450000ac400000ac4300000c0000000000',mips
b'0000ff85c074658b35000000000fbed085f6745883fa060f96c20fb6d24421ca6681ea4f6a0fbfd269d2860000008954240c31f685c04489d9400f94c68b1500',x86_64
b'02b2806cf430390000000048c0242efff8246efffc4e5e4e754e5600002f024ebaff68307900000000304823c80000000023f90000000000000000701323c000',m68k
b'ae725d66b98cfdcd1c11c010040000000000000038340000149fe39b00000000140000006b916b97ec371c376991ec311b516692ec322c5313622c321c323361',sh4
b'832083e0910000f091000031832083e0910000f09100000190f081e02d20813181309300002093000020910000332727fd309530930000209300002091000030',avr
b'0190e900408149001c814a000039400001914600008149004481690010a069001488890016916a0000b06a0004988a00063d40000038800008908a000080c600',powerpc
b'18433b222221fde293850221222102e22221f9e222212bd222218062a2212c622221ebe2222182840c6283840c63848438633b220c63858428433b2203632843',sh4
b'b0000023b0000083b000405b6b0000ba2700005ea70004ff470000bd231000de230180fa6b00003d2700009d27000059a00000dca40304ff47000039200205e2',alphaev56
b'410e108602430d0602ad0c070800001c000000dc010000000000003b00000000410e108602430d06760c07080000001c000000fc010000000000003900000000',x86_64
b'f6e71fd400e57221fee71ed132631266792662211cd1322137e33221222133e2222100e22221222122212221ffe222210de2222115d221840c6722840c600860',sh4
b'82104002c409200382108001c2276000c40920048728a018c20920058328601084104003c20920068328600882104002c409200782108001c227600003000000',sparc
b'0083e5000083e5d600a0e3000083e5001083e50110dce538009fe5ff1001e2001083e5002083e5002083e50020a0e30030a0e3feffffeb1040bde80000a0e31e',arm
b'e08091000090910000682f792f8f81992787fd9095860f971f882f992fa0e0b0e083709927aa27bb2761e0281739074a075b0701f460e0862f90e08e299f2921',avr
b'0000000000008c6400003c030000ac640000244200011840fff700a2182124a5000128a200021440fffb0000102127bdffe0afbf001c240300013c020000ac43',mips
b'209300002091000030e0309300002093000010920000109200002be138e2309300002093000024e53def309300002093000024e83be330930000209300001092',avr
b'10489a0249da0e0000010021280000102200005eb701f03f44000023b01f04ff4700405b6b0000ba2700005ea70004ff470000bd231000de230180fa6b0000fe',alphaev56
b'12202330202074561208210000c10000d10000a827b837e002002d0a161208210000c10000d10000a22700b817e002002d0a3d0b410000c10000d10000a827b8',xtensa
b'a78400264310b067a74800ff14414310b0665410507aa72800001514a72400151211a7440010a71e0001a78400091834a72800001d211823a7f400071824a7f4',s390
b'21e361fc711451126224d11922e361fc71145122211ed112611362ff721cd122211bd112611141c18918d118511362ff7216d1281115d118511141a48918d112',sh4
b'eaa12a00da859b8592854c3c18004af431089081484042404a806f04202b00042089528241e8000c7002b08266a849ecfff451ccff8842445384648041f90000',m68k
b'21c3e1b021d3e100e08ce5012042e20228a0e12228a0e1b021c3e11c5093e520c093e5002091e570e09fe570609fe5147093e5046081e5040081e5045081e504',arm
b'e50980c4e50a70c4e504108de550119fe500208de5002094e531b0d4e50008a0e1002081e500209de54008a0e1000081e510b0d4e5002081e51c00d4e5009081',arm
b'f03681007d012907391749275937382721000020831098370c12310000c10000d10000ad08bd09e003003d0a9613000c022030740c1220233020207456120821',xtensa
b'008091000090910000809100009091000080910000909100008091000090910000809100009091000029e83eee30930000209300008fef809300008fef9fef90',avr
b'43ac0100c39021380000001e0300031e0300000043ac0000033c040065ac213000002dc2033400008424000043ac1c00bfaf0000000c000000001c00bf8f2110',mipsel
b'000000000000a800448d0b8e0a8f09460ec001027acfcecd0e6000d09250201000a7280000502010005820d08e5820200050201000432030005420d08a502010',s390
b'2119d2226222211ee2222100e77221722125e2222115d2222101e2222118e2222113d550622c6351840c6228623b22222152840c60022172210ed400e50ed00b',sh4
b'47000024345ab63f2468d5212000001022000022b00000243000005eb721762048000022b063753f20000022b0020023280100e173000022b00300232801f03f',alphaev56
b'0004a7580000a74800201b455440d52e13525450d52aa73800011945a7a40004a73800001b321840a75800008e4000201d4017355430d5325410d52a1011a71a',s390
b'e5000081e5005081e5004081e50040a0e31ce093e520c093e5240093e500e081e500c081e5000081e5b8c2d3e12ce093e5002083e52c009fe50020a0e30030a0',arm
b'086084e6fc3863000090e9000480a9000880a9000838a0000090ca000038c0000090ea0000908900108169000891090014916a000090ea0000908a0000910a00',powerpc
b'0f60000000240000001800000000000001f400448c0c8d0b8e0a8f09460ec8010301a0cfcecdcc0e6000100054201000181217145410d1da891000018ac01000',s390
b'0000cd0f820205980f9088c0873e33c02000880db908880bac3880900480a074aa999098209090f440a91190aac0909ae0e0991187a907910000c0200098090c',xtensa
b'00880a0b88890a1b990c9897a8ea8100002218001df00000003661002d030c0aa921060900a08a908a813a889a887cf44248001b99860000000c09a619e61b33',xtensa
b'745810b0745910b068a744ffdd5810b0601211a78400185810d0b698231000a718000017121881a718ffff171318915810d0b2184818595830b06418215810d0',s390
b'00c220a000030000001080000ec6206000c400a0008208800105000000c220a00084103feb03000000c420600003000000c21060001080000386103feb861020',sparc
b'098803c02000a80f48042903c02000380f990e3803a809b08810e803b08830310000a0a820a9098100003803e904c020003908310000c020009803380cc02000',xtensa
b'00001000000000017a5200017c0e011b0c0f600000002000000018000000000000008800448d0b8e0a8f09460ec0010266cfcecd0e600010005830200c503010',s390
b'00b09100006d917c91709300006093000088279927861b970b841b950b82279327887099278e279f279093000080930000e0910000f09100000190f081e02d20',avr
b'4e5e4e754e5600004280600252807201b2806cf84879000000004ebaffb42039000000004e5e4e754e56fffc48e73f00262e000c4280601443f60800423098fe',m68k
b'1093a1001493c1001893e1001c910a0000409e0134394a000039200001808a000883a700005488043e80ca00047d2943d6390047827ce84bd67d2749d67f8848',powerpc
b'0300000043ac0c000324000043acffff0324000045ac000043accafe0334000043ac1be1033c73dc63340000043c000043ac21300000b1ef0324213800000000',mipsel
b'754e5600004aae001066182f2e000c2f2e00084879000000004eb9000000004fef000c4e714e5e4e754e56ffec1d7cffd3ffef42aefffc42b90000000060262d',m68k
b'da94419fe5f830a0e300308de50730e0e30420a0e10410a0e180019fe5c2ffffeb7c319fe52c3093e500408de50420a0e10010a0e30400a0e19cffffeb802160',arm
b'00017a5200017c0e011b0c0f600000002000000018000000000000004400448d0b8e0a8f09460ec0016acfcecd0e600000000000000000000000000000070707',s390
b'00000060e6103900000000721423c1000000004a82670e1239000000005ec149c144816002720126790000000016390000000049c3d28356c149c14481261302',m68k
b'a728009e5020100058c0d0de5850d0daa708ffff50001000a718001c5010b000a74800005820d0d6a718fff8a73800005010c0000de55840f098a728000098bf',s390
b'0900a00058ffb00040ff1000000006000000fa83645c0000000020000000340000009a919a92ec321c32e36170711d5113633c33e36170711c513c3108412c31',sh4
b'10024d0e08000000000000000500000000e4ff00008b104883c0088915000000008b50fc483d0000000089150000000075e34883ec088b050000000031f6bf00',x86_64
b'05002083150120dc050120a0e3fb60a0e356e0a0e3d850a0e3c4109fe5007093050c0093e5007081e5000081e51000d3e5002081e5002081e5002081e5002081',arm
b'05914900009149000091490000914900003940fff69149000039400000614a93689149000039400001914900003940008f914900003d401ac1614a26e9914900',powerpc
b'7810011b0c070890010000140000001c000000000000005c00000000440e1002570e0800d6d0ffff8805000000000fb6c0c70500000000f5ffffff8905000000',x86_64
b'a900009109000080aa00108087000c60a500019089000090aa0010808a000c90890000388000039169000090a9000083ca003493c9000083ca003493c9000093',powerpc
b'00c2010051e30010a0d3011002c2042093e5040093e5010052e30020a0d3012001c2010050e30020a0d3012002c2040093e5041093e5010050e30020a0d30120',arm
b'0062302300e37300003d24000061b000004220020042302200e273000041b000005d24000062302300e373000061b000004220020042302200e273000041b005',alphaev56
